Materia;Créditos;Créditos requeridos;Correlativas;Ciencia de  Datos;Imágenes y Realidad Virtual;Inteligencia Artificial;Arqitectura de Software
10.07 - Creatividad;3;96;;;;;
10.09 - Formación para Emprendedores;3;0;;;;;
11.36 - Innovación y Competitividad;3;192;;;;;
16.04 - Neurociencias y Desarrollo Productivo;3;0;;;;X;
16.50 - Introducción a la Bioinformática;3;0;72.37  ;X;;;
16.57 - Robótica Bioinspirada;3;0;72.08;;;X;
16.82 - Neurociencia Computacional;3;0;93.28  72.34  93.24  ;;;X;
22.48 - Procesamiento de Imágenes;3;0;93.75;;X;;
23.15 - Realidad Virtual;3;0;93.58  72.34  ;;X;X;
25.04 - Computación Cuántica;6;144;;;;;X
61.08 - Derecho Digital;1;0;61.32;;;;
61.11 - Derecho Laboral y Seguridad Social en la Empresa;1;0;61.32;;;;
61.13 - Práctica Contractual;1;;61.32;;;;
61.50 - Finanzas de la Empresa;3;0;61.23;;;;
71.48 - Introducción a la Realidad Aumentada;1;51;;;X;;
72.22 - Sistemas Tolerantes a Fallas;6;0;;;;;
72.23 - Diseño y Construcción de Compiladores;6;0;;;;X;
72.29 - Tipos para Lenguajes de Programación;3;0;72.34;;;;
72.46 - Robótica Basada en Comportamiento;6;0;72.27;;;X;
72.49 - Sistemas Tolerantes a Fallas;3;0;72.42;X;;;
72.50 - Introducción al Desarrollo de Videojuegos;6;0;72.34;;X;;
72.51 - Tecnologías para Web 2.0 y Redes Sociales;3;0;72.42;X;;;
72.52 - Análisis y Tratamiento de Imágenes;3;0;93.75  72.34  ;;X;X;
72.53 - Visión Computacional 3D;3;0;72.34;;X;X;
72.54 - OLAP y Explotación de Datos;3;0;93.24  72.41  ;X;;X;
72.55 - Ontologías en la Web;3;0;72.32 72.37;X;;;
72.58 - Computación Gráfica;3;0;72.34  ;;X;;
72.59 - Sistemas de Inteligencia Artificial II;3;0;72.27;;;X;
72.60 - Programación Funcional;3;0;72.34  ;X;;X;X
72.61 - Taller de Diseño de Videojuegos;1;0;72.34;;X;;
72.65 - Desarrollo de Videojuegos 2D en Iphone OS;3;0;72.34;;X;;
72.66 - Sistemas Embebidos;6;0;;;;X;
72.67 - Robótica Cinemática Computacional;3;0;;;;X;
72.68 - Arte y Ciencia Interactivos;3;0;;;;;
72.69 - Seguridad de Software basada en Flujo de Información;6;0;;X;;;
72.70 - Modelos e Imágenes Fractales;3;0;;;;;
72.71 - Integración de Sistemas de Información;3;0;72.07 72.35 72.37;X;;;X
