Cód,Materia,Primer llamado,Hora,Segundo llamado,Hora
10.01,Proyecto Final de Ingeniería Industrial,"lunes, 13 de julio de 2026",19:00,"lunes, 20 de julio de 2026",19:00
10.98,Apoyo Proyecto Final de Carrera,"lunes, 13 de julio de 2026",19:00,"lunes, 20 de julio de 2026",19:00
10.02,Gestión Ambiental,"jueves, 16 de julio de 2026",19:00,"jueves, 23 de julio de 2026",19:00
10.04,Plantas Industriales,"miércoles, 15 de julio de 2026",19:00,"miércoles, 22 de julio de 2026",19:00
10.07,Creatividad,"jueves, 2 de julio de 2026",14:00,"jueves, 16 de julio de 2026",14:00
10.08,Energías Renovables,"miércoles, 8 de julio de 2026",19:00,"miércoles, 15 de julio de 2026",19:00
10.09,Formación para Emprendedores,"lunes, 13 de julio de 2026",16:00,"lunes, 20 de julio de 2026",16:00
10.12,Energías Convencionales,"miércoles, 8 de julio de 2026",18:00,"miércoles, 22 de julio de 2026",18:00
10.15,Agroindustria,"martes, 7 de julio de 2026",16:00,"martes, 14 de julio de 2026",16:00
10.16,Machine Learning para Negocios,"jueves, 16 de julio de 2026",13:00,"jueves, 23 de julio de 2026",13:00
10.23,Agroindustria II,"martes, 7 de julio de 2026",16:00,"martes, 14 de julio de 2026",16:00
10.24,Economía de la transición energética,"miércoles, 8 de julio de 2026",17:00,"miércoles, 15 de julio de 2026",17:00
11.10,Organización de la Producción I,"jueves, 2 de julio de 2026",19:00,"jueves, 16 de julio de 2026",19:00
11.14,Diseño de Producto,"miércoles, 8 de julio de 2026",16:00,"jueves, 16 de julio de 2026",16:00
11.15,Organización Industrial,"jueves, 16 de julio de 2026",16:00,"jueves, 23 de julio de 2026",16:00
11.16,Materiales y Procesos,"martes, 7 de julio de 2026",19:00,"martes, 21 de julio de 2026",19:00
11.19,Prototipado e Impresión 3D,"miércoles, 8 de julio de 2026",16:00,"jueves, 16 de julio de 2026",16:00
11.20,Supply Chain,"jueves, 2 de julio de 2026",17:00,"jueves, 16 de julio de 2026",17:00
11.28,Sistemas Complejos,"lunes, 6 de julio de 2026",15:00,"lunes, 20 de julio de 2026",15:00
11.39,Marketing,"martes, 14 de julio de 2026",13:00,"martes, 21 de julio de 2026",13:00
11.46,Planeamiento Estratégico,"lunes, 13 de julio de 2026",18:00,"lunes, 20 de julio de 2026",18:00
11.51,Investigación Operativa,"viernes, 10 de julio de 2026",13:00,"viernes, 17 de julio de 2026",13:00
11.59,Logística,"jueves, 16 de julio de 2026",19:00,"jueves, 23 de julio de 2026",19:00
11.63,Simulación,"martes, 14 de julio de 2026",19:00,"martes, 21 de julio de 2026",19:00
11.67,Estadística Aplicada,"martes, 7 de julio de 2026",11:00,"martes, 14 de julio de 2026",11:00
11.73,Teoría de la Decisión,"martes, 14 de julio de 2026",19:00,"martes, 21 de julio de 2026",19:00
